Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
mar del plata,ar,-46.4276,-67.5191,17.82,100.0,0.0,3.71
bluff,nz,-46.6,168.3333,45.36,100.0,8.0,5.95
biak,id,-0.9132,122.8766,76.59,100.0,92.0,4.16
myanaung,mm,18.2833,95.3167,80.19,100.0,92.0,8.52
pangnirtung,ca,66.149,-65.7179,24.03,100.0,68.0,4.05
vaini,to,-21.2001,-175.2,76.32,100.0,88.0,15.35
bethel,us,60.7922,-161.7559,56.57,47.0,0.0,14.67
yumen,cn,40.2917,97.0449,76.68,25.0,64.0,2.48
upernavik,gl,72.7868,-56.1549,25.56,95.0,20.0,4.16
komsomolskiy,ru,67.5537,63.776,32.04,100.0,68.0,19.26
new norfolk,au,-42.7802,147.0615,53.78,100.0,48.0,2.48
barrow,us,39.5062,-90.4016,69.87,91.0,0.0,15.57
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
kruisfontein,za,-34.0034,24.7314,57.06,99.0,48.0,19.15
sao filipe,cv,14.8961,-24.4956,71.37,100.0,0.0,13.78
poum,nc,-20.2334,164.0167,72.81,100.0,0.0,10.98
havelock,us,34.8785,-76.9015,71.69,91.0,24.0,8.75
new norfolk,au,-42.7802,147.0615,53.78,100.0,48.0,2.48
cabo san lucas,mx,22.8938,-109.9112,79.45,99.0,8.0,7.4
clyde river,ca,70.4692,-68.5915,25.59,90.0,56.0,8.52
punta arenas,cl,-53.1627,-70.9081,34.25,100.0,0.0,1.92
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
khatanga,ru,71.9801,102.4743,49.95,85.0,0.0,11.65
vaini,to,-21.2001,-175.2,76.32,100.0,88.0,15.35
suileng,cn,47.25,127.0833,84.15,41.0,20.0,22.5
thinadhoo,mv,0.5333,72.9333,83.43,100.0,48.0,14.67
hobart,au,-42.8826,147.3281,55.22,94.0,36.0,2.37
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
chara,ru,56.9029,118.261,39.69,94.0,92.0,3.38
beloha,mg,-25.1739,45.0615,72.09,68.0,56.0,15.79
new norfolk,au,-42.7802,147.0615,53.78,100.0,48.0,2.48
bredasdorp,za,-34.5331,20.0428,56.52,100.0,100.0,8.52
charters towers,au,-20.0715,146.271,67.14,54.0,0.0,4.5
oranjemund,na,-28.55,16.4333,58.95,99.0,0.0,13.78
albany,au,-35.0248,117.8836,66.06,46.0,48.0,6.17
hermanus,za,-34.4176,19.2361,46.71,100.0,48.0,1.36
saint-philippe,re,-21.3586,55.7679,72.3,100.0,20.0,14.67
saint-pierre,re,-21.3394,55.4781,73.0,100.0,0.0,19.15
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
butaritari,ki,3.0707,172.7902,81.9,100.0,32.0,8.08
cape town,za,-33.929,18.4174,54.63,100.0,64.0,6.96
cherskiy,ru,68.75,161.3,41.04,74.0,68.0,6.96
nikolskoye,ru,59.7035,30.7861,70.21,56.0,44.0,4.61
mandurah,au,-32.55,115.7,75.43,79.0,0.0,1.48
vaini,to,-21.2001,-175.2,76.32,100.0,88.0,15.35
qaanaaq,gl,77.484,-69.3633,24.3,97.0,44.0,2.93
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
cape town,za,-33.929,18.4174,54.63,100.0,64.0,6.96
severo-kurilsk,ru,50.6789,156.125,42.21,87.0,76.0,19.93
lagunas,pe,-5.227,-75.6797,75.24,93.0,12.0,3.6
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
esperance,au,-33.8583,121.8932,74.25,39.0,8.0,13.22
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
puri,in,19.8,85.85,91.47,78.0,12.0,15.35
vostok,ru,46.448,135.8294,80.55,51.0,36.0,4.72
port elizabeth,za,-33.918,25.5701,63.09,100.0,92.0,27.54
bredasdorp,za,-34.5331,20.0428,56.52,100.0,100.0,8.52
tombouctou,ml,16.7719,-3.0088,80.1,53.0,0.0,9.42
avarua,ck,-21.2078,-159.775,75.25,100.0,12.0,18.48
victoria,sc,-4.6167,55.45,79.77,100.0,8.0,12.1
hirara,jp,24.8,125.2833,80.51,100.0,76.0,10.65
broken hill,au,-31.9651,141.4511,60.57,54.0,0.0,9.42
ugoofaaru,mv,5.6667,73.0,83.79,98.0,92.0,20.83
busselton,au,-33.6445,115.3489,63.0,100.0,76.0,8.75
mar del plata,ar,-46.4276,-67.5191,17.82,100.0,0.0,3.71
bhadrachalam,in,17.6688,80.894,92.88,70.0,8.0,4.38
lewisville,us,33.0462,-96.9942,88.84,81.0,0.0,8.97
yellowknife,ca,62.4541,-114.3774,53.24,44.0,32.0,11.99
bluff,nz,-46.6,168.3333,45.36,100.0,8.0,5.95
honiara,sb,-9.4313,159.9553,85.55,82.0,48.0,2.59
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
east london,za,-33.0153,27.9116,64.35,100.0,0.0,24.52
bredasdorp,za,-34.5331,20.0428,56.52,100.0,100.0,8.52
salym,ru,60.0625,71.4789,45.72,62.0,92.0,9.64
dikson,ru,73.5069,80.5464,31.95,100.0,44.0,21.94
mandera,ke,3.9366,41.867,82.8,56.0,0.0,13.0
victoria,sc,-4.6167,55.45,79.77,100.0,8.0,12.1
saldanha,za,-33.0117,17.9442,53.55,100.0,0.0,10.09
puri,in,19.8,85.85,91.47,78.0,12.0,15.35
kagadi,ug,0.9473,30.804,76.5,100.0,48.0,2.15
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
andros town,bs,24.7279,-77.7889,76.91,99.0,48.0,2.15
mattru,sl,7.6244,-11.8333,73.8,97.0,64.0,2.71
carnarvon,au,-24.8667,113.6333,76.68,72.0,92.0,2.37
east london,za,-33.0153,27.9116,64.35,100.0,0.0,24.52
avarua,ck,-21.2078,-159.775,75.25,100.0,12.0,18.48
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
castro,cl,-42.4824,-73.7644,24.39,100.0,0.0,2.59
mount gambier,au,-37.8302,140.7843,54.9,81.0,44.0,2.71
naze,jp,28.3667,129.4833,77.41,99.0,100.0,9.42
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
amod,in,21.9908,72.8706,96.57,57.0,0.0,9.31
moose factory,ca,51.2585,-80.6095,30.56,69.0,0.0,10.2
dehloran,ir,32.6915,47.2675,96.3,26.0,12.0,6.73
bredasdorp,za,-34.5331,20.0428,56.52,100.0,100.0,8.52
aksu,cn,41.1231,80.2644,79.29,28.0,64.0,4.83
cape town,za,-33.929,18.4174,54.63,100.0,64.0,6.96
bluff,nz,-46.6,168.3333,45.36,100.0,8.0,5.95
